CLUSTER,WEEK,CARRIER,NETWORK,COUNT,AREA,LATITUDE,LONGITUDE,AVG RTT
null,53,,evdoa,6,SFBay,37.428432,-122.07238,77.1833333333
1,50,tmobile,hsdpa,1763,SFBay,37.521887823,-122.1919402723,100.5580260919
1,50,sprint,evdoa,543,SFBay,37.3972463536,-122.0455759853,67.870718232
1,51,tmobile,hsdpa,1013,SFBay,37.5082609694,-122.1817149655,102.2476801579
1,51,sprint,evdoa,50,SFBay,37.41140882,-122.0594204,70.132
2,51,sprint,evdoa,49,SFBay,37.5488547959,-122.2738787755,88.9632653061
2,51,tmobile,hsdpa,50,SFBay,37.242287,-121.73094,68.18
0,51,tmobile,hsdpa,35,SFBay,37.8539213143,-122.075918,85.1542857143
3,51,sprint,evdoa,8,SFBay,37.811317,-122.26823,116.9375
3,53,sprint,evdoa,4,SFBay,37.8574495,-122.280985,77.8
4,53,sprint,evdoa,396,SFBay,37.760535649,-122.4293599747,78.7449494949
1,53,sprint,evdoa,174,SFBay,37.3772615632,-122.0401343678,66.5362068966
1,53,tmobile,edge,743,SFBay,37.4489546191,-122.1576266353,199.8977119785
2,53,tmobile,edge,413,SFBay,37.169701,-121.84487,195.1089588378
5,53,sprint,evdoa,71,SFBay,37.462291169,-122.4274419718,64.185915493
1,53,verizonwireless,lte,123,SFBay,37.263832,-122.02302,33.3048780488
2,53,verizonwireless,lte,330,SFBay,37.5666873545,-122.2916988788,40.8754545455
0,50,tmobile,edge,70,SFBay,37.8427963714,-122.0930141429,221.4714285714
1,50,tmobile,edge,730,SFBay,37.4971831425,-122.209322589,212.6643835616
3,50,verizonwireless,lte,64,SFBay,37.7789272344,-122.3979889063,50.2859375
2,50,tmobile,hsdpa,44,SFBay,37.242287,-121.73094,83.3454545455
1,50,tmobile,wifi,365,SFBay,37.3482887644,-122.0323923836,177.3364383562
3,50,tmobile,hsdpa,19,SFBay,37.8045398421,-122.2248531579,85.9631578947
0,50,tmobile,hsdpa,67,SFBay,37.8173231045,-122.0244174627,90.9641791045
4,50,verizonwireless,lte,319,SFBay,37.4165431379,-122.1003698746,48.9492163009
2,50,tmobile,wifi,548,SFBay,37.440073812,-122.1435102007,23.8145985401
2,50,verizonwireless,lte,148,SFBay,37.5695455473,-122.3193371622,57.0932432432
1,50,tmobile,umts,560,SFBay,37.3913875446,-122.027769625,208.96875
2,50,tmobile,umts,377,SFBay,37.7830115172,-122.4312485146,243.8018567639
0,50,tmobile,umts,59,SFBay,37.6829415763,-122.0660177966,198.4542372881
null,50,virginmobile,wifi,2,SFBay,37.428432,-122.07238,102.5
1,51,tmobile,umts,366,SFBay,37.3897673907,-122.0468343443,257.381420765
0,51,verizonwireless,lte,67,SFBay,37.6984967164,-122.3580565672,59.1731343284
4,51,verizonwireless,lte,120,SFBay,37.410757975,-122.0799035833,29.3158333333
1,51,tmobile,wifi,293,SFBay,37.3399054369,-122.0324509215,19.7675767918
2,51,tmobile,wifi,571,SFBay,37.4427027881,-122.1506121191,23.9562171629
0,51,tmobile,umts,119,SFBay,37.5275264286,-121.9445481513,241.4378151261
3,51,tmobile,wifi,233,SFBay,37.800694,-121.98144,155.5849785408
3,51,tmobile,umts,82,SFBay,37.5180143537,-122.2691173171,313.1768292683
2,51,tmobile,umts,170,SFBay,37.7787012412,-122.4287502353,270.7611764706
